gene,biotype_kly,biotype_k12,biotype
yebY,protein_coding,protein_coding,protein_coding
bglB,protein_coding,protein_coding,protein_coding
apaG,protein_coding,protein_coding,protein_coding
ybgQ,protein_coding,protein_coding,protein_coding
argL,protein_coding,protein_coding,protein_coding
mug,protein_coding,protein_coding,protein_coding
bcsE,protein_coding,protein_coding,protein_coding
nanX,protein_coding,protein_coding,protein_coding
elfG,protein_coding,protein_coding,protein_coding
proQ,protein_coding,protein_coding,protein_coding
nrdG,protein_coding,protein_coding,protein_coding
cybC,pseudogene,pseudogene,pseudogene
yfdC,protein_coding,protein_coding,protein_coding
infA,protein_coding,protein_coding,protein_coding
ydcS,protein_coding,protein_coding,protein_coding
flgG,protein_coding,protein_coding,protein_coding
HQ24_RS24465,protein_coding,,protein_coding
sbp,protein_coding,protein_coding,protein_coding
mltD,protein_coding,protein_coding,protein_coding
ycaM,protein_coding,protein_coding,protein_coding
frvX,protein_coding,protein_coding,protein_coding
ftsW,protein_coding,protein_coding,protein_coding
mhpE,,protein_coding,protein_coding
sdhC,protein_coding,protein_coding,protein_coding
yjfP,protein_coding,protein_coding,protein_coding
ydgA,protein_coding,protein_coding,protein_coding
phnE,pseudogene,pseudogene,pseudogene
hcr,protein_coding,protein_coding,protein_coding
djlA,protein_coding,protein_coding,protein_coding
yceG,protein_coding,,protein_coding
yfaQ,protein_coding,protein_coding,protein_coding
rsmS,protein_coding,,protein_coding
nrdI,protein_coding,protein_coding,protein_coding
zapB,protein_coding,protein_coding,protein_coding
CDN75_RS12755,protein_coding,,protein_coding
ypeC,protein_coding,protein_coding,protein_coding
xdhA,protein_coding,protein_coding,protein_coding
lplA,protein_coding,protein_coding,protein_coding
ygeO,,pseudogene,pseudogene
yjiC,protein_coding,protein_coding,protein_coding
ynfG,,protein_coding,protein_coding
yedJ,protein_coding,protein_coding,protein_coding
bssR,protein_coding,protein_coding,protein_coding
priC,protein_coding,protein_coding,protein_coding
ygaC,protein_coding,protein_coding,protein_coding
prfC,protein_coding,protein_coding,protein_coding
celF,protein_coding,,protein_coding
puuP,protein_coding,protein_coding,protein_coding
eutP,protein_coding,protein_coding,protein_coding
pspD,protein_coding,protein_coding,protein_coding
CDN75_RS24150,protein_coding,,protein_coding
uup,protein_coding,protein_coding,protein_coding
cysD,protein_coding,protein_coding,protein_coding
sad,protein_coding,protein_coding,protein_coding
norV,protein_coding,protein_coding,protein_coding
HQ24_RS01200,protein_coding,,protein_coding
rseB,protein_coding,protein_coding,protein_coding
narW,protein_coding,protein_coding,protein_coding
